match_id;date;surface;level;round;best_of;player_id;opponent_id;player_rank;opponent_rank;player_elo_rating;opponent_elo_rating;player_age;opponent_age;player_height;opponent_height;outcome;p_matches;o_matches;p_sets;o_sets;p_games;o_games;p_tbs;o_tbs;p_ace;p_df;p_sv_pt;p_1st_in;p_1st_won;p_2nd_won;p_sv_gms;p_bp_sv;p_bp_fc;o_ace;o_df;o_sv_pt;o_1st_in;o_1st_won;o_2nd_won;o_sv_gms;o_bp_sv;o_bp_fc;minutes;p_upsets;o_upsets;p_avg_ace;p_avg_df;p_avg_sv_pt;p_avg_1st_in;p_avg_1st_won;p_avg_2nd_won;p_avg_sv_gms;p_avg_bp_sv;p_avg_bp_fc;o_avg_ace;o_avg_df;o_avg_sv_pt;o_avg_1st_in;o_avg_1st_won;o_avg_2nd_won;o_avg_sv_gms;o_avg_bp_sv;o_avg_bp_fc
166985;06/04/2018;C;D;RR;3;6030;11769;87;64;1815;1855;25.64;22.49;;;;0;1;1;2;14;16;0;1;2;2;84;62;48;12;15;2;4;8;0;90;56;44;21;15;5;6;133;0;0;2.35;2.70;78.13;48.48;32.00;15.58;12.23;4.48;7.58;6.20;2.60;76.18;46.70;33.05;14.95;12.28;3.33;6.03
167084;09/04/2018;C;B;R32;3;6364;6196;26;65;1989;1859;23.25;24.75;;;RET;1;0;0;0;5;0;0;0;1;1;10;5;4;4;2;0;0;0;0;18;10;1;4;3;3;6;16;0;0;6.10;2.87;83.34;49.34;35.93;17.70;13.14;4.15;6.69;7.55;3.74;82.57;49.97;36.63;16.29;12.95;4.18;6.77
167085;09/04/2018;C;B;R32;3;5420;4311;93;62;1768;1948;28.41;34.13;;190;;1;0;2;1;13;9;0;0;0;5;64;41;22;12;11;5;10;2;1;86;52;29;12;11;7;14;100;1;0;2.29;3.18;87.89;57.55;36.71;14.63;13.23;4.95;9.05;6.82;3.03;85.92;50.68;36.20;17.91;13.09;4.97;7.82
167086;09/04/2018;C;B;R32;3;4291;5902;91;61;1844;1876;34.22;26.17;185;;;1;0;2;1;13;12;0;0;1;1;86;41;24;19;12;10;16;2;7;85;39;23;19;13;5;12;128;1;0;4.67;3.26;84.17;45.17;32.51;19.19;12.71;5.01;7.98;7.96;3.22;80.63;48.48;35.95;16.59;12.79;4.20;6.56
167087;09/04/2018;C;B;R32;3;4994;3893;55;57;1868;1801;30.63;36.31;190;183;;1;0;2;0;12;7;0;0;5;0;47;26;18;14;10;2;5;1;2;68;37;24;9;9;6;11;87;0;0;4.93;2.11;76.87;50.07;34.51;13.07;11.89;4.39;7.27;5.12;2.70;77.29;48.82;34.54;14.85;12.05;3.75;6.16
167088;09/04/2018;C;B;R32;3;4752;5333;38;102;2040;1685;31.81;28.87;185;;;1;0;2;0;12;7;1;0;6;1;53;28;18;17;9;3;5;0;2;75;46;24;13;10;6;11;87;0;0;5.44;2.35;75.54;46.67;34.16;15.44;12.18;3.36;5.51;6.39;2.55;77.20;47.01;32.66;14.82;11.97;4.30;7.31
167089;09/04/2018;C;B;R32;3;4198;23755;67;135;1844;1657;34.85;23.2;188;;;1;0;2;0;12;4;0;0;3;1;41;27;17;12;8;0;1;3;7;64;34;23;7;8;8;13;76;0;0;3.63;3.99;79.18;46.39;32.07;15.98;12.12;4.43;7.56;5.39;2.91;79.50;48.15;33.64;15.51;12.22;4.33;7.24
167090;09/04/2018;C;B;R32;3;6134;9719;78;73;1795;1798;25.05;22.82;;;;1;0;2;0;12;4;0;0;3;3;49;30;21;13;8;1;1;1;4;53;35;20;8;8;6;10;72;1;0;3.24;3.29;74.20;45.02;30.46;14.63;11.20;4.10;6.98;3.83;3.20;73.12;42.85;30.41;14.61;11.37;3.46;6.17
167091;09/04/2018;C;B;R32;3;4467;5324;71;47;1918;1918;33.28;28.92;183;196;;1;0;2;1;18;14;1;1;0;4;100;62;43;17;16;6;11;4;4;99;48;34;21;16;1;8;123;1;0;4.34;2.24;80.92;45.97;31.88;18.09;12.42;4.47;7.42;5.06;2.64;80.37;48.19;33.14;15.22;12.29;4.42;7.74
167092;09/04/2018;C;B;R32;3;5792;4894;94;44;1886;1892;26.74;31.01;;190;;1;0;2;1;17;15;0;0;9;2;98;59;39;16;16;8;15;1;3;96;55;28;24;16;5;13;134;1;0;6.86;1.97;84.80;50.29;36.37;18.31;12.89;5.40;7.91;7.77;3.89;81.20;48.94;35.77;17.14;12.97;3.83;6.34
167173;23/04/2018;C;A;R64;3;5324;11769;47;64;1899;1859;28.96;22.53;196;;;1;0;2;1;18;16;1;1;10;4;114;64;46;28;17;2;4;2;4;116;75;49;24;17;2;5;142;0;0;8.26;4.38;83.34;43.07;31.82;18.68;12.54;4.73;7.96;3.56;2.95;81.92;51.33;35.15;15.55;12.53;4.39;7.38
167174;23/04/2018;C;A;R64;3;44494;5303;174;67;1615;1900;20.97;29.07;;185;;1;0;2;1;16;15;0;0;2;2;103;68;42;17;15;9;13;4;1;116;75;52;13;16;8;13;155;1;0;2.13;1.75;69.50;43.25;25.88;12.13;10.38;4.00;7.88;5.63;3.13;70.25;44.50;33.13;12.00;11.00;2.13;4.25
