match_id,date,surface,level,round,best_of,player_id,opponent_id,player_rank,opponent_rank,player_elo_rating,opponent_elo_rating,player_age,opponent_age,player_height,opponent_height,outcome,p_matches,o_matches,p_sets,o_sets,p_games,o_games,p_tbs,o_tbs,p_ace,p_df,p_sv_pt,p_1st_in,p_1st_won,p_2nd_won,p_sv_gms,p_bp_sv,p_bp_fc,o_ace,o_df,o_sv_pt,o_1st_in,o_1st_won,o_2nd_won,o_sv_gms,o_bp_sv,o_bp_fc,minutes,p_upsets,o_upsets,p_avg_ace,p_avg_df,p_avg_sv_pt,p_avg_1st_in,p_avg_1st_won,p_avg_2nd_won,p_avg_sv_gms,p_avg_bp_sv,p_avg_bp_fc,o_avg_ace,o_avg_df,o_avg_sv_pt,o_avg_1st_in,o_avg_1st_won,o_avg_2nd_won,o_avg_sv_gms,o_avg_bp_sv,o_avg_bp_fc
167593,28/05/2018,C,G,R32,5,5663,4789,9.0,37.0,2157,2056,27.47,31.74,163.0,193.0,,1,0,3,2,29,23,0,1,4.0,9.0,177.0,101.0,63.0,40.0,26.0,12.0,20.0,6.0,2.0,172.0,114.0,67.0,26.0,26.0,8.0,19.0,238.0,0,0,5.46,3.51,79.22,46.04,33.04,16.92,12.39,4.24,6.97,6.42,3.06,81.5,48.87,33.64,15.31,12.45,4.88,8.33
166184,08/01/2018,H,B,F,3,5131,5216,21.0,12.0,2104,2251,29.74,29.29,183.0,198.0,,1,0,2,1,17,12,0,0,7.0,4.0,85.0,55.0,42.0,15.0,15.0,2.0,4.0,9.0,1.0,79.0,49.0,33.0,17.0,14.0,1.0,5.0,127.0,1,0,3.03,2.03,78.49,51.94,36.01,14.25,12.38,4.1,6.6,6.61,3.08,79.58,47.26,32.67,15.36,12.13,4.41,7.62
166394,03/02/2018,C,D,RR,3,22510,5149,482.0,590.0,1512,1609,22.33,29.68,,,,1,0,2,0,12,10,1,0,19.0,4.0,64.0,39.0,35.0,16.0,11.0,0.0,0.0,7.0,6.0,81.0,51.0,39.0,14.0,11.0,7.0,8.0,99.0,0,0,8.33,4.33,97.33,56.0,41.0,22.67,14.67,3.33,5.67,8.67,5.0,97.0,59.33,47.0,19.33,14.67,4.67,6.0
167873,02/07/2018,G,G,R64,5,644,26007,3.0,68.0,2206,1884,21.2,20.68,198.0,,,1,0,3,2,29,20,0,1,11.0,3.0,148.0,100.0,78.0,26.0,26.0,6.0,7.0,13.0,9.0,151.0,83.0,71.0,24.0,24.0,11.0,16.0,192.0,0,0,7.26,3.81,82.17,51.5,37.31,15.75,12.99,3.83,6.26,4.76,2.93,81.88,50.14,35.35,15.77,12.98,4.11,7.21
167729,18/06/2018,G,A,SF,3,4920,4868,22.0,61.0,2314,1974,31.07,31.35,188.0,188.0,,1,0,2,0,12,10,1,0,4.0,0.0,59.0,40.0,33.0,16.0,11.0,0.0,0.0,5.0,2.0,75.0,52.0,40.0,10.0,11.0,2.0,3.0,92.0,0,0,5.36,2.26,77.39,50.16,36.74,15.06,12.49,3.43,5.25,4.94,2.8,80.65,48.64,32.27,14.39,12.14,4.89,8.79
167871,02/07/2018,G,G,R64,5,5442,6057,28.0,184.0,2166,1875,28.51,25.69,178.0,193.0,,1,0,3,1,21,20,1,0,24.0,4.0,131.0,84.0,64.0,27.0,21.0,4.0,7.0,16.0,4.0,147.0,95.0,71.0,22.0,21.0,8.0,11.0,163.0,0,0,3.38,2.69,77.61,47.33,33.62,15.99,12.19,3.79,6.19,6.38,3.08,79.81,47.77,33.19,15.03,12.23,4.81,8.11
169046,31/12/2018,H,B,R32,3,5201,5148,95.0,104.0,1936,1757,30.335386,30.595482,190.0,180.0,,1,0,2,1,16,14,0,0,14.0,6.0,102.0,61.0,45.0,23.0,15.0,7.0,9.0,1.0,2.0,96.0,61.0,41.0,18.0,15.0,7.0,10.0,134.0,0,0,9.46,4.19,79.5,47.99,36.15,15.3,12.5,4.09,6.4,5.33,2.84,79.3,48.61,34.98,16.04,12.49,3.96,6.37
166203,08/01/2018,H,B,R16,3,6407,11549,84.0,55.0,1873,1911,21.91,21.25,,,,1,0,2,1,17,14,0,0,6.0,1.0,78.0,49.0,41.0,19.0,15.0,2.0,3.0,3.0,2.0,104.0,67.0,43.0,23.0,16.0,7.0,10.0,125.0,1,0,7.0,3.48,79.52,47.78,34.3,15.57,12.07,4.6,7.27,4.52,2.97,77.67,47.7,33.62,15.23,12.22,4.38,7.13
167483,21/05/2018,C,B,QF,3,4467,5055,75.0,91.0,1923,1844,33.4,30.4,183.0,183.0,,1,0,2,1,16,16,1,0,11.0,3.0,100.0,60.0,48.0,22.0,16.0,2.0,3.0,1.0,1.0,102.0,70.0,47.0,20.0,16.0,3.0,4.0,156.0,0,0,4.32,2.23,80.83,46.0,31.88,18.02,12.4,4.47,7.41,5.02,2.64,80.28,48.17,33.1,15.2,12.28,4.43,7.74
166519,05/02/2018,H,B,R16,3,4180,4311,28.0,77.0,2025,1934,34.75,33.96,193.0,190.0,,1,0,2,1,16,18,2,0,23.0,4.0,108.0,66.0,54.0,25.0,17.0,5.0,7.0,14.0,5.0,123.0,66.0,57.0,26.0,17.0,6.0,7.0,153.0,0,0,13.28,3.54,82.21,50.48,39.4,15.97,13.05,3.9,5.85,8.05,2.99,79.69,49.81,38.04,16.48,12.92,3.24,4.97
