match_id;tournament_name;season;tournament_id;date;level;surface;round;best_of;player_id;player_rank;player_elo_rating;opponent_id;opponent_rank;opponent_elo_rating;outcome;minutes;p_1st_in;o_1st_in;p_sv_pt;o_sv_pt;p_1st_won;o_1st_won;p_2nd_won;o_2nd_won;p_ace;o_ace;p_df;o_df;p_bp_sv;o_bp_sv;p_bp_fc;o_bp_fc;p_matches;p_sv_gms;o_sv_gms
169763;Houston;2019;244;08/04/2019;B;C;SF;3;23589;241;1788;34554;95;1839;;92;32;40;57;60;21;31;13;12;5;0;3;2;3;5;7;6;0;10;10
169762;Houston;2019;244;08/04/2019;B;C;F;3;34554;95;1850;6412;73;1851;;149;64;69;99;105;41;48;21;20;3;4;3;1;7;8;10;11;0;15;16
170166;Lyon;2019;355;20/05/2019;B;C;R32;3;24021;58;1869;44669;117;1686;;134;54;90;100;117;45;55;19;18;18;0;9;6;3;6;6;9;0;15;14
170165;Lyon;2019;355;20/05/2019;B;C;R32;3;6196;105;1861;26007;46;1925;;98;58;45;85;73;42;36;14;19;8;7;1;1;6;0;7;0;0;12;12
170164;Lyon;2019;355;20/05/2019;B;C;R32;3;25929;199;1668;4752;39;2014;;163;66;77;110;130;51;53;18;29;5;9;1;2;6;19;11;22;0;16;16
170163;Lyon;2019;355;20/05/2019;B;C;R32;3;11787;41;1872;44830;61;1792;;65;29;32;47;54;13;21;6;11;2;8;2;2;3;2;9;4;0;8;8
170162;Lyon;2019;355;20/05/2019;B;C;R32;3;11429;65;1869;5324;51;1926;;120;69;60;104;101;44;47;18;17;5;16;4;12;6;5;9;8;0;13;15
170167;Roland Garros;2019;19;27/05/2019;G;C;R128;5;27835;44;1883;4920;1;2390;;96;44;44;74;63;26;36;12;14;8;6;2;1;3;1;9;2;0;13;13
170168;Roland Garros;2019;19;27/05/2019;G;C;R128;5;23913;134;1652;5953;104;1844;;125;59;62;92;92;30;42;12;19;0;7;5;2;4;9;11;11;0;12;13
170169;Roland Garros;2019;19;27/05/2019;G;C;R128;5;44494;53;1859;6085;147;1655;;185;81;97;129;128;58;69;20;18;4;0;3;1;6;6;11;8;0;20;20
