match_id,tournament_name,season,tournament_id,date,level,surface,round,best_of,player_id,player_rank,player_elo_rating,opponent_id,opponent_rank,opponent_elo_rating,outcome,p_1st_in,o_1st_in,p_sv_pt,o_sv_pt,p_1st_won,o_1st_won,p_2nd_won,o_2nd_won,p_ace,o_ace,p_df,o_df,p_bp_sv,o_bp_sv,p_bp_fc,o_bp_fc,p_matches,p_sv_gms,o_sv_gms
169763,Houston,2019,244,08/04/2019,B,C,SF,3,34554,95.0,1839,23589,241.0,1788,,40.0,32.0,60.0,57.0,31.0,21.0,12.0,13.0,0.0,5.0,2.0,3.0,5.0,3.0,6.0,7.0,1,10.0,10.0
169762,Houston,2019,244,08/04/2019,B,C,F,3,6412,73.0,1851,34554,95.0,1850,,69.0,64.0,105.0,99.0,48.0,41.0,20.0,21.0,4.0,3.0,1.0,3.0,8.0,7.0,11.0,10.0,0,16.0,15.0
169862,Monte Carlo Masters,2019,9,15/04/2019,M,C,R64,3,4311,46.0,1921,32068,96.0,1817,,43.0,43.0,77.0,65.0,32.0,39.0,18.0,11.0,3.0,9.0,2.0,1.0,2.0,0.0,3.0,0.0,1,11.0,11.0
169964,Estoril,2019,348,29/04/2019,B,C,R32,3,6184,98.0,1692,5805,97.0,1718,,41.0,35.0,55.0,50.0,25.0,25.0,4.0,10.0,2.0,1.0,2.0,2.0,4.0,1.0,8.0,2.0,0,9.0,9.0
169963,Estoril,2019,348,29/04/2019,B,C,R16,3,4654,67.0,1915,11767,155.0,1658,,40.0,43.0,57.0,67.0,35.0,25.0,8.0,12.0,7.0,5.0,1.0,3.0,1.0,6.0,1.0,9.0,0,10.0,10.0
169962,Estoril,2019,348,29/04/2019,B,C,R16,3,26011,31.0,1940,6401,71.0,1919,,63.0,64.0,100.0,89.0,38.0,38.0,20.0,13.0,4.0,0.0,2.0,0.0,1.0,1.0,6.0,5.0,1,15.0,14.0
170062,Rome Masters,2019,11,13/05/2019,M,C,QF,3,5442,6.0,2149,6029,24.0,1993,,39.0,33.0,60.0,53.0,23.0,22.0,7.0,11.0,2.0,2.0,2.0,1.0,6.0,1.0,11.0,3.0,0,9.0,9.0
170076,Rome Masters,2019,11,13/05/2019,M,C,R32,3,5663,23.0,2041,5216,9.0,2231,,40.0,25.0,55.0,50.0,26.0,20.0,4.0,15.0,3.0,7.0,2.0,2.0,4.0,0.0,8.0,1.0,1,9.0,9.0
170075,Rome Masters,2019,11,13/05/2019,M,C,R32,3,34554,76.0,1852,6387,36.0,2101,DEF,54.0,42.0,73.0,71.0,44.0,31.0,8.0,13.0,7.0,11.0,3.0,4.0,0.0,2.0,2.0,5.0,0,13.0,11.0
170074,Rome Masters,2019,11,13/05/2019,M,C,R32,3,4259,56.0,2000,6051,19.0,1920,,31.0,31.0,53.0,46.0,21.0,20.0,17.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,0,9.0,9.0
170073,Rome Masters,2019,11,13/05/2019,M,C,R32,3,4920,1.0,2391,33215,22.0,1994,,32.0,32.0,40.0,61.0,28.0,18.0,4.0,12.0,1.0,2.0,0.0,3.0,0.0,9.0,0.0,13.0,1,8.0,8.0
170072,Rome Masters,2019,11,13/05/2019,M,C,R16,3,5918,18.0,1965,4742,2.0,2356,,32.0,25.0,44.0,37.0,12.0,20.0,5.0,9.0,1.0,1.0,3.0,1.0,6.0,1.0,11.0,1.0,1,6.0,7.0
170071,Rome Masters,2019,11,13/05/2019,M,C,R16,3,4269,38.0,2006,11547,13.0,2057,,54.0,53.0,81.0,85.0,40.0,35.0,19.0,22.0,6.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,1,15.0,15.0
170070,Rome Masters,2019,11,13/05/2019,M,C,R16,3,6418,15.0,2081,3819,3.0,2358,,56.0,62.0,93.0,109.0,44.0,39.0,21.0,28.0,5.0,9.0,3.0,2.0,2.0,5.0,4.0,8.0,0,15.0,15.0
170069,Rome Masters,2019,11,13/05/2019,M,C,R16,3,26578,7.0,2135,4921,12.0,2069,,32.0,26.0,51.0,48.0,26.0,15.0,8.0,11.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,1,10.0,9.0
170068,Rome Masters,2019,11,13/05/2019,M,C,R16,3,5442,6.0,2142,5515,51.0,2000,,54.0,53.0,93.0,85.0,36.0,31.0,16.0,15.0,4.0,7.0,6.0,2.0,4.0,1.0,9.0,7.0,0,14.0,16.0
170067,Rome Masters,2019,11,13/05/2019,M,C,R16,3,6029,24.0,1982,26414,33.0,1971,,44.0,29.0,64.0,54.0,31.0,16.0,12.0,14.0,0.0,5.0,4.0,4.0,4.0,3.0,5.0,6.0,0,10.0,9.0
170066,Rome Masters,2019,11,13/05/2019,M,C,R16,3,5216,9.0,2236,34554,76.0,1874,,39.0,39.0,63.0,61.0,31.0,24.0,12.0,13.0,8.0,2.0,2.0,2.0,1.0,4.0,2.0,7.0,1,10.0,10.0
170065,Rome Masters,2019,11,13/05/2019,M,C,R16,3,4259,56.0,2008,4920,1.0,2393,,23.0,33.0,38.0,54.0,11.0,25.0,7.0,13.0,2.0,2.0,0.0,3.0,0.0,3.0,4.0,3.0,0,7.0,8.0
170064,Rome Masters,2019,11,13/05/2019,M,C,QF,3,4269,38.0,2018,4742,2.0,2357,,34.0,41.0,52.0,59.0,18.0,31.0,4.0,7.0,0.0,2.0,5.0,1.0,3.0,8.0,8.0,9.0,1,8.0,8.0
