p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
192,-1.0,126,6196,6364,Marrakech,09/04/2018,0,0.04454398636297163,-0.014982335092494914,-0.009014362896901384,-0.0026038851787170136,-0.002914040171646648,0.0032242063492063933,0.0787486912183093,0.08249913405773143,-0.007968277999118811,-0.0035319062838077286,-0.0040616563412310125,-0.006135791462524742,-130
558,1.0,63,4311,5420,Marrakech,09/04/2018,0,-0.07072860988631646,0.06767152584161473,0.023028049826302355,0.004877472414413941,0.01673330061722811,-0.043266769073220634,0.2213038290487038,-0.02643182557761145,0.002261709269083201,0.03793461844241297,0.02899266413471857,0.042812090856826905,180
36,0.0,156,5902,4291,Marrakech,09/04/2018,0,0.02087212202223887,-0.010570865289321718,0.01976511151609489,0.020609258209022707,0.0169380513081806,0.11111111111111116,0.039720888748983496,0.01002596993782956,-0.03737398182167151,0.007559802387959946,0.01787275377366615,0.028169060596982536,32
252,1.0,271,3893,4994,Marrakech,09/04/2018,0,-0.06505513896054638,-5.542944133618555e-05,0.004251546799530714,0.0005212448696765293,-0.003540240271424522,-0.037559304164470175,-0.07885466204703223,0.04168057750376519,-0.0158445895857231,-0.01132261847828564,-0.007391455627978327,-0.01080137360860911,-67
45,-1.0,622,5333,4752,Marrakech,09/04/2018,0,0.035277892408294265,-0.09705031195366876,-0.07523600838496625,-0.010399335480585137,-0.034491690415132115,0.07967131118256521,-0.30825332708894354,0.08820493306794683,-0.009848101127940323,-0.08266508613752588,-0.06325743020639324,-0.09306442161811102,-355
6,0.0,514,23755,4198,Marrakech,09/04/2018,0,0.015176355714515588,-0.04285676588558163,-0.06214345370383478,-0.019228085826903496,-0.028462978389692695,-0.1588845654993516,0.25142938063122866,0.15623427428429815,-0.05038769877776317,-0.047528563805910085,-0.04361653793973208,-0.06675664963281358,-187
25,0.0,39,9719,6134,Marrakech,09/04/2018,0,0.03235085626803669,0.024454540951005965,0.03962316056818216,-0.03757846387803376,-0.012952938754768106,-0.03589743589743588,0.24273599134864393,-0.14493867213068104,0.032096109019185914,0.035672600596223014,0.0003904407885516048,-0.001905863281810749,3
339,-0.14285714285714285,655,5324,4467,Marrakech,09/04/2018,0,-0.05291508471723427,0.042938221011237565,-0.05460313396074923,-0.008738959924046608,-0.01058593349285819,0.014659190704586877,0.31028792690646473,0.16543206701653995,0.0061145305773074865,-0.013607596832569624,-0.014810419110413031,-0.022346556756616218,0
31,0.0,392,5792,4894,Marrakech,09/04/2018,1,-0.002413191855815233,-0.004480598909946787,0.035598171538828216,-0.00644114585627964,-0.0008183972861606215,-0.05859117840684669,-0.0414489613865171,-0.06205768658935479,0.06363433209922031,0.011175569087434334,0.003483866496141075,0.004734423231154708,-6
33,0.0,341,11769,5324,Barcelona,23/04/2018,0,0.10840845324956305,-0.012835779438381434,0.07460728368213576,-0.024094288886196802,0.0007656219375121731,0.14076246334310843,-0.020520612957012352,-0.1256086666452234,0.06620797068585771,0.04975250856702962,0.018565315910285707,0.025658219680832817,-40
6,0.0,297,44494,5303,Barcelona,23/04/2018,1,-0.020399759367711656,-0.11320555048480763,-0.027484882208141714,-0.009375177736927864,-0.03319990994075217,0.5286195286195285,-0.027588392370318238,-0.013626428934258555,-0.13605133052202983,-0.08194505862044976,-0.06122251038374721,-0.0913202363573776,-285
124,-1.0,69,5539,5367,Barcelona,23/04/2018,1,0.09470750976150333,-0.0592789008002963,0.014118548737507897,-0.0012654451863186589,-0.003909008465884711,0.05236091631603551,-0.19584398868697817,-0.09543245211441737,0.041847146150283066,-0.009687449038911056,-0.007408186359719571,-0.010952894225229722,-31
