p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,player_elo_rating,opponent_elo_rating,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
192,-1.0,126,6196,6364,Marrakech,09/04/2018,1859,1989,0,0.9170346344592663,-0.2676969179482989,-0.22424110205368689,-0.13446691579631873,-0.16185117706426488,0.025758081253566056,0.2536844868151688,0.8157230474588677,-0.16261978040138297,-0.0800346638375436,-0.13550014933182772,-0.13803773183914886,-0.6608727455852274
558,1.0,63,4311,5420,Marrakech,09/04/2018,1948,1768,0,-1.456101938977499,1.2091211943145956,0.57284528371631,0.25187695594589216,0.9293984439267929,-0.3456568323059136,0.7129178584926025,-0.261348795430779,0.04615786054537208,0.8596163631982945,0.9672187870506131,0.9631494083953507,0.9150545708103148
36,0.0,156,5902,4291,Marrakech,09/04/2018,1876,1844,0,0.4296979312332952,-0.18887496778893967,0.4916764988579118,1.064280180581044,0.9407706757367122,0.8876631078151879,0.12795861267324096,0.09913334054748035,-0.762743056559726,0.17130869116559244,0.5962495597470365,0.6337231727310078,0.16267636814405598
252,1.0,271,3893,4994,Marrakech,09/04/2018,1801,1868,0,-1.3393012266628557,-0.0009903857120860849,0.1057613888705664,0.026917542514141055,-0.19663148799235275,-0.3000600779580856,-0.25402586588936105,0.4121232069832928,-0.3233626737502474,-0.2565758802335432,-0.24658495382873588,-0.24299996549526334,-0.34060364580161717
45,-1.0,622,5333,4752,Marrakech,09/04/2018,1685,2040,0,0.7262719799148044,-1.7340467447515746,-1.8715693640606073,-0.5370308106652055,-1.9157322355891957,0.6364915531922406,-0.9930207839879059,0.8721400245576052,-0.2009839570071943,-1.8732298788476676,-2.1103191701137676,-2.0936829019609946,-1.804690959098121
6,0.0,514,23755,4198,Marrakech,09/04/2018,1657,1844,0,0.3124382200927952,-0.7657433951366482,-1.545879248855209,-0.9929552266527244,-1.5808864270128897,-1.2693237047551813,0.809965631287331,1.544790739834061,-1.0283321579740359,-1.077019694527754,-1.4550830763736649,-1.5018333913034576,-0.9506400263418271
25,0.0,39,9719,6134,Marrakech,09/04/2018,1798,1795,0,0.6660125883314442,0.43694158500726926,0.9856649099087808,-1.9405848534889374,-0.7194301589589629,-0.28678346560182966,0.78196036586999,-1.4331037128504367,0.6550301333633273,0.8083579708835473,0.013025421332900007,-0.042876464466479816,0.015250909513505247
339,-0.14285714285714285,655,5324,4467,Marrakech,09/04/2018,1918,1918,0,-1.0893718621328354,0.7671987948426733,-1.3583064133298175,-0.451287559781409,-0.5879623118493099,0.11711180501000185,0.9995751330519586,1.6357353491700686,0.12478776717494626,-0.3083545685015748,-0.4940875919895509,-0.5027335149732804,0.0
31,0.0,392,5792,4894,Marrakech,09/04/2018,1886,1892,1,-0.04968079177613073,-0.08005711468542032,0.8855393673697091,-0.3326264247622919,-0.04545529789194626,-0.4680830476365807,-0.1335255016392651,-0.613605049326839,1.2986747090285078,0.25324367161344025,0.11622461154263805,0.10651096087386541,-0.030501819027010494
33,0.0,341,11769,5324,Barcelona,23/04/2018,1859,1899,0,2.2318232923276993,-0.2293433282532907,1.8559292215609584,-1.2442502232102106,0.04252405748495434,1.1245468110737855,-0.06610600235502108,-1.2419752705693332,1.3511985469063759,1.1274153327601408,0.6193539942559094,0.5772364444595056,-0.20334546018006996
6,0.0,297,44494,5303,Barcelona,23/04/2018,1615,1900,1,-0.4199733208067201,-2.022700518466184,-0.6837133524198403,-0.48414240598279734,-1.8439843604839303,4.223124482635892,-0.08887445686071889,-0.1347334400923133,-2.7765895586543503,-1.8569137153789017,-2.0424325946180026,-2.0544437298396123,-1.4488364037829986
124,-1.0,69,5539,5367,Barcelona,23/04/2018,1870,1901,1,1.9497596350488293,-1.059165940798601,0.351212721798202,-0.06534869997509239,-0.21711355509560706,0.4183096833462873,-0.6309004124038119,-0.9436032457112755,0.8540331697935457,-0.2195221687583115,-0.24714310460736189,-0.2464087453361239,-0.15759273163955423
91,-1.0,77,11549,4296,Barcelona,23/04/2018,1900,1717,0,-1.6895894172025294,1.4616592340375185,0.6589693440314438,0.21846871058024572,0.9325042844658751,-0.09577184380023943,0.7213373901471163,0.40705330932116907,-0.015358856211722125,0.9362472846016385,1.0221650683486558,1.0246738099151427,0.9303054803238201
29,0.0,5,26578,44669,Barcelona,23/04/2018,1815,1772,1,-0.49895024870475885,1.3040945126948447,0.875618769446076,-0.9463098361559132,0.24447634763671505,0.6611559699588982,0.9230525999916316,-3.1406443174393335,0.33909976580963846,1.1754493913852337,0.7816493075493338,0.7547207753532582,0.2185963696935752
510,1.0,477,3333,3990,Barcelona,23/04/2018,1891,1877,1,0.3646802261645287,2.257459548520367,0.27540335981519165,-2.4821598492695025,-0.1406284428101111,0.06886531768732665,3.61021722814088,0.6964027118279362,2.1355522185047406,2.0465674503677143,0.9085607337639457,0.9504730895008847,0.07117091106302449
40,0.0,3,6202,6058,Barcelona,23/04/2018,1799,1807,1,-1.4345492157784507,-0.06109113026161793,3.324463049965597,-3.058617466217819,-1.3727496713383374,3.7947597859099265,0.8673377857092979,0.15549888667302572,1.1286461948747728,0.8074676621529308,-0.32767119420720836,-0.5308266555455874,-0.040669092036013994
276,-0.5,293,4994,4914,Barcelona,23/04/2018,1886,1948,0,0.7519658301288474,-0.8321817117843497,-0.9633070195043255,0.2853486256513853,-0.4665210318876562,0.119338592622134,-0.2855386621414177,-0.8398012089838931,-0.38661687396449773,-0.8202819713447309,-0.7024143702773635,-0.6900584283242002,-0.31518546327910846
252,-1.0,419,5055,4716,Barcelona,23/04/2018,1851,1769,0,-0.3309787942453724,-0.3534172427870723,0.41554517405334856,-0.09910941967679647,-0.2510586916433142,-0.4414103793891755,-0.18321490568728416,-0.5425845046777149,0.16127471451277348,-0.18364070190821435,-0.22462126323393586,-0.22549363039779105,0.4168581933691434
219,-0.3333333333333333,207,5364,5630,Barcelona,23/04/2018,1873,1908,1,-0.49142861791713516,-0.2215146240917681,-0.6468181185521233,0.08544520111261178,-0.39294365189182073,-0.9918141693039262,0.23778157275462222,0.36205254828574673,0.09641041181629052,-0.5113925167467612,-0.48164215554494066,-0.47048255110541454,-0.17792727765756122
1,0.0,175,23913,5571,Barcelona,23/04/2018,1697,1835,0,-1.6603426637212242,-0.7040917995852061,-4.962663742344672,0.964098719893572,-1.7606775589337063,4.1999145901198585,-1.0169803995973175,4.207077934486827,-2.1456371293713516,-2.748175753331443,-2.4187465157498496,-2.3083612758479206,-0.7015418376212413
517,0.0,93,4198,5209,Barcelona,23/04/2018,1834,1869,1,-0.5466391416164084,0.2813170978540748,-0.05783043174445785,0.4596978489045474,0.41607810334750395,-0.026585030994652408,-0.02223271194159202,1.0822226253074747,-0.012418433591812597,0.0702746986509711,0.25144222454924964,0.27003363200477215,-0.17792727765756122
41,0.0,107,6134,4887,Barcelona,23/04/2018,1800,1691,1,1.0033465111242381,-0.799321919261413,0.8352490037063645,1.2045987227758623,0.8807259274980324,-0.8231168275797088,-0.9171199559358554,-1.1046664054928317,-0.9678954423318703,-0.03635988337638184,0.43720175271342554,0.48868066731508464,0.5541163789906907
311,0.0,69,5663,4893,Australian Open,15/01/2018,2165,1734,1,-0.11945084747386367,-0.09345128026348663,0.8358049492945778,1.1120275011703575,1.0058482168461704,-0.03201692741735211,-0.340920487425827,0.5548608374379344,-0.5305854172435094,0.21952170743144003,0.6711329931887677,0.7023895931207577,2.191047333440254
54,0.0,423,6107,3898,Australian Open,15/01/2018,1763,1932,0,0.11000102491803082,-0.9733176522746233,-0.2853162489922987,-0.30687802779704604,-0.9552750767119885,0.2297851307464846,-0.8146472886157754,-0.3428526532193408,-0.1477763957304109,-0.8676383649402577,-0.9913038711111549,-0.9950745778308794,-0.8591345692607956
