p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
41,0.0,7,34554,23589,Houston,08/04/2019,1,1.0073441014138764,-0.6609070398416447,0.8390198456070217,0.08924657859803235,0.10267222950597789,-1.5972187874086203,-0.36586359585567274,0.8683552075040495,0.48395932525436886,-0.008189360772777645,0.028730276965682484,0.03195072745794465,0.26926170989083753
27,1.0,41,6412,34554,Houston,08/04/2019,0,-1.5157459536809286,-0.027083916056126704,-0.40112223979416967,0.76765574114418,0.26976986425337995,-1.4939853291084264,-0.12450403922740724,0.7061202449542736,-0.22489782930015517,-0.49143785681329927,-0.19476249775362495,-0.1529263415245859,0.0052796413704085795
612,0.0,24,4311,32068,Monte Carlo Masters,15/04/2019,1,-0.4542514788622988,-0.3372954322672782,-0.2953307348973695,1.2236492855426657,0.5289992464030664,-0.10280701473484309,-0.3382210204114866,0.07179264109915331,-1.2660306367737577,-0.4806242189543595,0.028191665600661026,0.06382250730243323,0.5490827025224922
10,1.0,30,6184,5805,Estoril,29/04/2019,0,1.8981002503303024,-1.1842003828328391,1.9136983780284869,0.7598032788088542,0.6352093115045582,-1.7976540862206827,-0.47228839780691756,-1.7849926830448588,0.30517750313803693,-0.03030044366722144,0.26753031827921425,0.31206574822354427,-0.13727067563062306
359,0.0,1,4654,11767,Estoril,29/04/2019,0,0.8415692556186684,1.5606954689227006,-3.1763899004786227,1.127302017398425,0.9423122179075122,-4.706949417959447,0.4821860319420797,0.2793130634323175,-1.4078394419244007,0.07572056249273892,0.5573611515776496,0.5856171319596947,1.356867832195005
105,0.0,85,26011,6401,Estoril,29/04/2019,1,-0.5763280542983916,1.4033752736394238,-0.17824875042597238,-1.011971884460467,0.10153521631921153,-1.1229043731854687,1.3146970902276347,0.5226499893061838,0.2934328909966683,0.9988667240582395,0.6092000856645429,0.5582510800003733,0.11087246877858016
557,1.0,228,5442,6029,Rome Masters,13/05/2019,0,-0.04564207555723919,0.9973966695577545,0.8194003740425312,-0.6115934099602904,0.43470757761558604,0.6247398586990919,0.2291636979828962,-0.23837862820818317,1.003793772923811,1.0841379745925912,0.8959356574022675,0.8255564151005141,0.8236240537837384
375,0.5,563,5663,5216,Rome Masters,13/05/2019,1,-1.0662164050842142,-0.6129941488847617,-0.6099550154149863,0.3646453345172289,-0.5234608064525922,-0.25165028546241397,-0.5818511828352038,0.9580272909658822,-0.21784077224428683,-0.9636103757309998,-0.852010768610096,-0.8145276140819095,-1.00313186037763
46,0.0,215,34554,6387,Rome Masters,13/05/2019,0,0.024504696924050016,-1.4229355502023129,-0.45612981867925734,0.7782156708978065,-0.6006805183079673,0.8579299582367662,-2.2686262769524417,-0.47524619506792454,-0.9745661779919297,-1.3581242121502493,-1.034089606066997,-1.0287518650790557,-1.3146307012317362
686,0.0,93,4259,6051,Rome Masters,13/05/2019,0,-1.1172072391406411,0.757209096282648,1.4416454199236721,0.6853318397051177,1.2916971305361886,0.3382682420307744,0.3828625621491571,-0.3877015890684409,0.45676151913615426,0.8751100846421533,1.1876572982483782,1.1983973774854837,0.4223713096326863
923,-1.0,112,4920,33215,Rome Masters,13/05/2019,1,1.4183195951837588,-0.2619783694942843,0.903419846380525,1.9911101174796162,1.8825508886242914,0.24293092772503197,-0.4777424278551775,-2.06035648643356,-0.8496434004263991,0.42805482245342935,1.3337020374167323,1.3333871294962112,2.096017624052206
154,-1.0,882,5918,4742,Rome Masters,13/05/2019,1,-1.4580182238908068,-0.8792085820564727,-2.0178099204308957,-1.5212536563263468,-2.6307234171027982,0.449320878075155,0.22074152840909145,2.2896928450292,0.2104715385603916,-1.6648222552839325,-2.40437817130835,-2.377978763263187,-2.0643397758297546
713,1.0,166,4269,11547,Rome Masters,13/05/2019,1,1.328992734866984,-0.5618958378112818,-0.09553229352943936,0.4767206958370102,0.22274765509853187,0.08194075428074603,-0.7717696883041012,0.9697045674438175,-0.25578783952652706,-0.17699302878287151,0.023475254129209356,0.0352820913100084,-0.26926170989083753
236,-0.2,835,6418,3819,Rome Masters,13/05/2019,0,-0.2185631194301394,-1.272066485077497,-1.2815576167366898,-0.8353257956749838,-1.9023804974108913,0.08401702087735996,-0.5606636338195831,0.7036951715980361,-0.09534421607296063,-1.5318442003083363,-1.9703163031755155,-1.9333504606572998,-1.4624606596031764
119,1.0,598,26578,4921,Rome Masters,13/05/2019,1,0.10238305927864363,1.4143049274096624,1.2631526510770141,-1.1114396347232298,0.5384150111532452,-0.38649992298103636,0.874276977414082,-1.397619002796306,0.9623827014902461,1.5966977992633304,1.1854927329298666,1.1207894803808058,0.3484563304469662
557,0.0,227,5442,5515,Rome Masters,13/05/2019,0,1.099887961442107,-0.8699497886444524,0.9643118816127196,1.1003969927244703,0.8249685482969225,0.9225774773199739,-1.185963553812156,-0.9568204208632726,-0.32928975928121385,-0.02588791521894493,0.4454448400576344,0.4702379775458924,0.7497090745980183
228,0.0,64,6029,26414,Rome Masters,13/05/2019,0,-0.007088112780352343,-1.9059364650186696,-0.9285218281434368,1.9281489419266593,-0.08507607067957523,-0.056669468178557815,-1.2948856072177974,0.8268396778857429,-2.1052019264753246,-1.866655858676226,-1.1244872411485252,-1.0265479882893633,0.05807605507449437
563,0.0,46,5216,34554,Rome Masters,13/05/2019,1,-0.35145104120128506,1.04257841428774,0.48956639318900214,0.6574622449311309,1.351404460279163,-0.5622441153134424,0.7917250134139571,-0.39168424177957745,0.15915041852221934,0.9630642846011601,1.2819689271707921,1.2751867958141136,1.9112301760879056
686,-0.6363636363636365,923,4259,4920,Rome Masters,13/05/2019,0,-0.8115094587562145,-0.20622643189923873,-0.3688626546789469,-1.3974782598582893,-1.4507543670555612,0.23858355965550776,0.10516816465810473,-0.10353047336313989,0.4811741063731239,-0.4592452018465318,-1.1052601067412544,-1.0972084952226664,-2.032661927607303
713,-0.6000000000000001,882,4269,4742,Rome Masters,13/05/2019,1,-0.2198977743138556,-0.21497544904779878,-1.7592426223498754,-1.0777884921780108,-1.4558534516375456,0.12270388548756443,0.5642640957945794,1.9290684558247773,0.3928388867872252,-0.7531802393222273,-1.2736720206595757,-1.2516028692474315,-1.7897984245685084
15,0.0,44,44669,24021,Lyon,20/05/2019,1,1.0432964516016496,-2.94259023462679,-2.8766270916951497,1.8848221316618898,-1.2598067452623662,0.7081667612384512,-3.604245392968626,0.9337192331190788,-3.238675409242049,-3.153204621554812,-2.3137478244853393,-2.3532875123488646,-0.96617437078477
125,0.0,222,26007,6196,Lyon,20/05/2019,1,-1.2285275717259403,0.3570679649323163,-0.30919951204168034,-0.024595172461556902,-0.13407040863558167,-0.5435069471492449,0.38626115376529413,-0.9109921670684243,0.06225270064478349,-0.13008753463653216,-0.14278975109692307,-0.14327280597415742,0.3378970477061491
669,0.0,1,4752,25929,Lyon,20/05/2019,0,2.888010778407639,0.051874932099370434,0.9730830087570089,3.3111752245808335,3.4587048824300366,4.285886797491762,1.2381700709787613,1.198106866241139,-5.53559240596391,1.129826475209871,2.5306438300727048,2.642081141739925,1.8267559141613683
18,0.0,65,44830,11787,Lyon,20/05/2019,1,-0.8262355016279684,0.903712409343201,1.0277822002668358,-1.3874848155107826,-0.27700913696901697,1.12161323328299,0.7940132694808686,-0.6020019068496888,0.7594001315416605,0.8857370742494947,0.30722321683878123,0.27386069877907243,-0.4223713096326863
400,0.0,45,5324,11429,Lyon,20/05/2019,0,-2.32701797572186,0.9003992850003281,-1.2607866080282395,0.8557774439338587,0.27583233274691904,0.454407005128006,1.113667278105381,1.3401248631751428,-0.2046752432339115,-0.42307976029965305,-0.08344020380435324,-0.04370769616050935,0.300939558113289
42,0.0,928,27835,4920,Roland Garros,27/05/2019,0,-0.502784142650983,-0.5357452359586503,-1.4868178464377022,-2.041828501397318,-2.470924750414271,1.312173100189307,0.2531870474230054,1.1344837766799156,0.750437902905901,-1.0484894992708158,-1.9855109928445656,-1.9866614882249995,-2.6767781747971497
65,0.0,3,5953,23913,Roland Garros,27/05/2019,0,-1.1358553090018397,0.975460916010305,4.441187136186908,0.7877389117019429,2.3032307456645116,1.5671856136282873,1.3461020566515627,-0.22884257790469884,1.6912423733263038,1.9495522949274033,2.306202274455083,2.336286806345009,1.0136911431184472
51,0.0,7,44494,6085,Roland Garros,27/05/2019,1,0.13583746918432996,0.458835462520204,1.6833949605088794,0.5248986085173775,1.200502075193642,3.071621827996125,0.4241801347702486,-0.49417063129872635,1.0642722531644244,0.9885561834680561,1.2313343838168858,1.2412698770421495,1.0770468395633501
327,-1.0,721,4659,4467,Roland Garros,27/05/2019,1,0.8990578292156268,0.3430377453488753,-0.5979423394281307,-1.2732989954695646,-0.7503702726506832,0.4195113303552321,0.5564575886709002,0.2958797620697857,0.6867307800809644,0.25198079398636264,-0.271743446547978,-0.3185378971737502,-0.5438030611520837
230,0.0,116,5515,33215,Roland Garros,27/05/2019,1,-0.49009731975107446,0.20962374132942208,-0.8642743244926354,0.12985990910567205,-0.16613991697458427,-0.12060722692410153,0.2611181503876869,-0.672227438626668,-0.41863580117871707,-0.31624304454610874,-0.265699941326216,-0.26271876037435876,0.036957489592860056
57,0.0,116,5801,5420,Roland Garros,27/05/2019,1,-0.7903697572609966,1.6095574971907691,-0.35208389800644635,-0.9417198727491669,0.17463271200362135,0.38606606207401245,1.4238161887708989,-0.42689202703127815,1.0024479344012482,1.0410663511303797,0.6735721993352721,0.6328281086068609,-0.702192302264341
22,0.0,259,44525,4585,Roland Garros,27/05/2019,1,-0.2509514152405987,-0.6893715124834657,-0.8274385558736249,0.9749013742959713,-0.13537717184503126,1.1042101266711812,0.2491727499439317,0.06363240110282445,-1.7391254041276243,-0.9049919410536658,-0.5285689256713485,-0.4795978999076656,-0.839462977894964
206,-0.3333333333333333,239,5370,6418,Roland Garros,27/05/2019,0,-1.0586314177718872,0.30327645447273305,-1.11092795848556,-0.020964236865278516,-0.37978541386719833,-0.3317156309321799,0.5760697042652106,0.42418766552787684,-0.44978850904472395,-0.43394174929136836,-0.454894370754133,-0.4503633238828034,-1.1192839705266189
618,0.0,601,4311,4921,Roland Garros,27/05/2019,0,-0.16672798251168452,0.6093660847692549,0.5495263514695987,-0.48546612755426577,0.21160928202386695,0.18900105021005265,0.43199025306731637,-1.1809776245527663,0.5674698969918553,0.6400399639906977,0.47068286578274954,0.4312472129415443,-1.029530067229673
369,-1.0,87,4654,11769,Eastbourne,24/06/2019,0,-0.6079155577215423,-0.14162184561981378,-0.3421524993232595,0.9065664903790551,0.37929960219930714,-0.6475989629362424,-0.5433836601732313,0.2199920537710173,-0.823046440691548,-0.3686498716469963,0.016603161256970762,0.0345133692396206,0.1795078065938917
90,0.0,857,26011,4742,Australian Open,14/01/2019,0,-1.5983899193423847,-0.16996875048119525,-1.4743606742832491,-2.10175181136803,-2.398958274972444,-0.8096785032452541,1.0302670080927727,0.9766307778956159,0.42428606022527143,-0.9332173161242371,-1.8976680866557047,-1.8965796877622965,-2.370558975313452
28,0.0,19,44494,5805,Cordoba,04/02/2019,1,0.8478770794604215,-0.7012366770009271,0.6804010413682557,1.0995465004967282,0.760237193382035,1.2164576523297852,-0.28160675687121417,-1.6985282028228432,-0.6969829487104852,-0.11518425946948653,0.32360856850113384,0.37912528121059663,0.5754809093745351
25,-1.0,63,5403,6134,Cordoba,04/02/2019,0,0.559806087274306,-0.8487430729170192,-0.22345542415555886,1.0591367397517009,0.2247504447006891,0.6049248671091821,-0.11176178381807143,-0.8148530022902547,0.2638019953215714,-0.6661766777563068,-0.2754915815759377,-0.1989411147173156,0.300939558113289
