p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff
8,0.0,4,6196,6364,Marrakech,09/04/2018,0,-0.007881058443998779,-0.05019989656291335,-0.06455564247171763,0.023191453655799,-0.004301858009186144,0.19214100056281289,0.21892672696466453,0.30999757851263404,-0.11646395969769974,-0.05728179031311109,-0.024039616168598565,-0.03409033665731211
4,0.0,9,4311,5420,Marrakech,09/04/2018,0,-0.09871859646022485,0.04705345173006725,0.10741302185108359,-0.010459611234427846,0.012644565557779486,0.0,0.28815173623187273,-0.2063019596948688,-0.06009484726156411,0.0539679440270977,0.0296177629727174,0.043508332792669864
6,0.0,8,5902,4291,Marrakech,09/04/2018,0,-0.027725187588818145,-0.03742690058479525,-0.03862692672589063,0.006822538527720301,-0.010924667510119224,-0.3750000000000001,0.03622303622303624,0.0964590964590964,-0.045719329214474747,-0.043912679198818694,-0.024810957813372725,-0.0370901406710984
3,0.0,10,3893,4994,Marrakech,09/04/2018,0,-0.028285160598688908,0.04820651047066149,-0.026257600884466825,-0.007133592736705663,-0.004680894283138892,-0.1,-0.05319148936170215,0.018888406426400356,-0.07464248343215896,0.011874819609945075,0.0036725102215015015,0.0047412268732394125
7,0.0,6,5333,4752,Marrakech,09/04/2018,0,0.028098367294347337,-0.012226881483116459,0.012756414969487595,0.03349534595809067,0.023313155174959244,0.14285714285714288,-0.1811839323467229,0.04926004228329811,0.05755755755755754,0.001435750179468731,0.020122161543652872,0.0349310961375594
1,0.0,8,23755,4198,Marrakech,09/04/2018,0,0.03090231853149983,-0.07049019219561714,-0.16136480191308278,-0.007143863997628119,-0.03057627132106011,-0.1735024008895711,1.1739592009185067,0.14063032704601275,-0.16377589381309043,-0.09685197746334484,-0.06773722723272513,-0.10399584146097296
5,0.0,4,9719,6134,Marrakech,09/04/2018,0,-0.044218987353974004,0.05503528548381864,0.10346841552011143,-0.016318569434900176,0.010282208029162465,0.0,0.22752392583229378,-0.05749040068977493,-0.025693930071649773,0.06425765836262376,0.03191672391315192,0.04793908892772358
7,0.0,5,5324,4467,Marrakech,09/04/2018,0,-0.11284150277860971,0.09758145784346661,-0.01699162949225591,-0.01327187530416174,-0.006097886996763391,0.0,0.40315126050420164,0.33865546218487386,-0.07554945054945039,0.015440417956141261,0.003003517841839165,0.0021685426519794937
9,0.0,4,4894,5792,Marrakech,09/04/2018,0,-0.03240580752316713,0.02719280936661983,-0.014567608451094283,-0.01919511765166071,-0.011673027716534001,-0.3470048017791423,0.0039321490922334945,0.08284368990761873,-0.056682519145732524,0.005281353077338791,-0.008587539037367697,-0.013913764574321915
11,0.0,9,11769,5324,Barcelona,23/04/2018,0,0.12571484525612497,-0.010063769589150784,0.10303829615185794,-0.016817776196001444,0.010919182963044283,0.4290599399880111,0.1455046999245253,-0.22205940316331976,0.15119176887188246,0.06830874541459386,0.03554108642978976,0.05149096921859243
11,0.0,1,5303,44494,Barcelona,23/04/2018,0,0.006739046181679975,0.08351958650636371,0.06532218387158689,-0.01410149369169933,0.013846242906642381,0.31530941407244456,0.010413553830203648,-0.1310046315279636,0.22026832790579703,0.07795480961974888,0.04485950946148287,0.06385331592804964
12,0.0,9,5367,5539,Barcelona,23/04/2018,0,-0.0909697354807183,0.045461330874204564,0.05218260811940256,-0.022392972402417,-0.005467821997068634,0.2261066265041399,0.05568314078021863,0.11762832337634774,0.04581703283041472,0.03131250030720323,0.007123346441734624,0.00891952790478634
11,0.0,7,11549,4296,Barcelona,23/04/2018,0,-0.1352378047018976,0.019659318116627467,0.037363343556593875,0.0014255303896134608,0.0015862558655943548,-0.024849594045942613,0.267177441938489,0.16024473090552013,0.07512683716895951,0.0014994002112458382,0.0018709412364313893,0.002924930600859292
3,0.0,10,44669,26578,Barcelona,23/04/2018,0,0.03375034609067851,-0.11861473299877245,-0.13816514074334751,0.04273312297276477,-0.014083485226101589,-0.08874629196148914,-0.5235706669262287,0.4205762634097775,0.002816597085622208,-0.12097525594763026,-0.05711096680621991,-0.07824213297486549
2,0.0,3,6058,6202,Barcelona,23/04/2018,0,0.081919439819505,-0.07634861186563757,-0.12654007040824838,0.08200057176724651,0.026284214516187787,0.5,-0.39354331905531037,-0.021876077644767677,0.03528722254495209,-0.07269319330211077,-0.003043656865289901,0.009307378465135754
11,0.0,9,4994,4914,Barcelona,23/04/2018,0,0.006615062869408828,-0.06317656731628862,-0.07206879679927336,0.010637590938151531,-0.013497231065273896,-0.07966067829422645,-0.020460272626791787,-0.038356519846147796,0.009757460424181907,-0.06563102489604766,-0.03668626081819243,-0.05499343395789613
7,0.0,3,5630,5364,Barcelona,23/04/2018,0,-0.0880940811658193,-0.03489116542808235,-0.06107887232775017,-0.006960538448660736,-0.026065936270392442,-0.6314948123403785,-0.18520201119313628,0.06508427480025647,-0.11430578597061969,-0.06467040064075191,-0.048834246802679615,-0.07163093908941265
1,0.0,8,23913,5571,Barcelona,23/04/2018,0,-0.09028159152814852,0.0024714049877251343,-0.1824523741036828,0.02842649343006398,-0.01432360623758222,0.0,-0.2158587639540437,0.47937167146642656,-0.11422810983307907,-0.08939355104935098,-0.04514454847337601,-0.06096705761928699
10,0.0,10,5209,4198,Barcelona,23/04/2018,0,-0.008513822992396114,0.01596443459113317,-0.0018150002984363978,0.0044405256217557865,0.0057968053487182924,-0.040059782568020175,0.009390295036206586,-0.05551937955524666,-0.007185504229966111,0.0062512139396816435,0.006819291118831006,0.010691739561437444
