p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff
8,0.0,4,6196,6364,Marrakech,09/04/2018,0,-0.13277930245923042,-0.6559973392369576,-0.9379899572759558,0.8756726532455082,-0.17005919504574915,0.7599279901247166,0.5444210749849029,2.0924002280691,-1.1555660262635052,-0.9423468318158175,-0.5942629159205944,-0.5546662002886146
4,0.0,9,4311,5420,Marrakech,09/04/2018,0,-1.6632012655259707,0.6148805326352523,1.560705337587178,-0.39493839659670105,0.49985951090607883,0.0,0.7165679593951204,-1.392482707728806,-0.5962665534403042,0.8878305094089992,0.7321555412437405,0.707901534490316
6,0.0,8,5902,4291,Marrakech,09/04/2018,0,-0.4671112509510475,-0.48908362129276356,-0.5612471344420905,0.2576082768724879,-0.4318692432307415,-1.4831451666330224,0.0900784686875871,0.6510729419201801,-0.4536313527458318,-0.7224106281133387,-0.6133305970258042,-0.6034744567356943
3,0.0,10,3893,4994,Marrakech,09/04/2018,0,-0.47654562149593965,0.62994836180629,-0.38152150592538014,-0.2693531924145667,-0.18504309351564294,-0.3955053777688059,-0.13227515991238437,0.1274916601093748,-0.7406095258483903,0.1953535072253981,0.09078500329087826,0.07714204529341023
7,0.0,6,5333,4752,Marrakech,09/04/2018,0,0.4733985461594517,-0.15977725591601372,0.18535001239382246,1.2647313489623921,0.9216055933422742,0.5650076825268656,-0.4505633121446869,0.3324920284952025,0.5710913336697533,0.023619628951989498,0.4974228502523346,0.5683457620645282
1,0.0,8,23755,4198,Marrakech,09/04/2018,0,0.520639242576607,-0.9211448964775113,-2.34462175353002,-0.2697410190009305,-1.2087279676029192,-0.6862113260762462,2.919370051403675,0.9492168609714375,-1.6249993500357058,-1.5933188124671764,-1.674474412959889,-1.6920624401226758
5,0.0,4,9719,6134,Marrakech,09/04/2018,0,-0.744997177477486,0.7191847655758624,1.503390423163082,-0.6161634025324221,0.4064718121793883,0.0,0.5658003570591703,-0.388044732775764,-0.254937516713809,1.057107336326774,0.7889862003719312,0.7799920713054925
7,0.0,5,5324,4467,Marrakech,09/04/2018,0,-1.9011426109654455,1.2751655100315296,-0.2468874479635542,-0.5011250451837383,-0.24105903819584937,0.0,1.0025456720989643,2.28583323041537,-0.7496085362753115,0.2540114207909352,0.07424741136434401,0.03528323363387102
9,0.0,4,4894,5792,Marrakech,09/04/2018,0,-0.545969878174257,0.3553475567130765,-0.21166655470342838,-0.7247773189580309,-0.46145309607651325,-1.3724226521524927,0.00977836221952102,0.5591726118909752,-0.5624091227694439,0.08688391743565642,-0.21228525252387867,-0.2263836525209007
11,0.0,9,11769,5324,Barcelona,23/04/2018,0,2.1180314269321445,-0.13151035211602413,1.497140812247531,-0.6350126612076038,0.43165243048174723,1.6969551365041953,0.36183716006977745,-1.4988412104802364,1.5001385150610007,1.123752059335027,0.8785809851798483,0.8377828747410951
