match_id,tournament_name,season,tournament_id,date,level,surface,round,best_of,player_id,player_rank,player_elo_rating,opponent_id,opponent_rank,opponent_elo_rating,outcome,p_1st_in,o_1st_in,p_sv_pt,o_sv_pt,p_1st_won,o_1st_won,p_2nd_won,o_2nd_won,p_ace,o_ace,p_df,o_df,p_bp_sv,o_bp_sv,p_bp_fc,o_bp_fc,p_matches,o_matches,p_sv_gms
167084,Marrakech,2018,299,09/04/2018,B,C,R32,3,6196,65.0,1859,6364,26.0,1989,RET,10.0,5.0,18.0,10.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,6.0,0.0,0,1,3.0
167085,Marrakech,2018,299,09/04/2018,B,C,R32,3,4311,62.0,1948,5420,93.0,1768,,52.0,41.0,86.0,64.0,29.0,22.0,12.0,12.0,2.0,0.0,1.0,5.0,7.0,5.0,14.0,10.0,0,1,11.0
167086,Marrakech,2018,299,09/04/2018,B,C,R32,3,5902,61.0,1876,4291,91.0,1844,,39.0,41.0,85.0,86.0,23.0,24.0,19.0,19.0,2.0,1.0,7.0,1.0,5.0,10.0,12.0,16.0,0,1,13.0
167087,Marrakech,2018,299,09/04/2018,B,C,R32,3,3893,57.0,1801,4994,55.0,1868,,37.0,26.0,68.0,47.0,24.0,18.0,9.0,14.0,1.0,5.0,2.0,0.0,6.0,2.0,11.0,5.0,0,1,9.0
167088,Marrakech,2018,299,09/04/2018,B,C,R32,3,5333,102.0,1685,4752,38.0,2040,,46.0,28.0,75.0,53.0,24.0,18.0,13.0,17.0,0.0,6.0,2.0,1.0,6.0,3.0,11.0,5.0,0,1,10.0
167089,Marrakech,2018,299,09/04/2018,B,C,R32,3,23755,135.0,1657,4198,67.0,1844,,34.0,27.0,64.0,41.0,23.0,17.0,7.0,12.0,3.0,3.0,7.0,1.0,8.0,0.0,13.0,1.0,0,1,8.0
167090,Marrakech,2018,299,09/04/2018,B,C,R32,3,9719,73.0,1798,6134,78.0,1795,,35.0,30.0,53.0,49.0,20.0,21.0,8.0,13.0,1.0,3.0,4.0,3.0,6.0,1.0,10.0,1.0,0,1,8.0
167091,Marrakech,2018,299,09/04/2018,B,C,R32,3,5324,47.0,1918,4467,71.0,1918,,48.0,62.0,99.0,100.0,34.0,43.0,21.0,17.0,4.0,0.0,4.0,4.0,1.0,6.0,8.0,11.0,0,1,16.0
167092,Marrakech,2018,299,09/04/2018,B,C,R32,3,4894,44.0,1892,5792,94.0,1886,,55.0,59.0,96.0,98.0,28.0,39.0,24.0,16.0,1.0,9.0,3.0,2.0,5.0,8.0,13.0,15.0,0,1,16.0
167173,Barcelona,2018,4,23/04/2018,A,C,R64,3,11769,64.0,1859,5324,47.0,1899,,75.0,64.0,116.0,114.0,49.0,46.0,24.0,28.0,2.0,10.0,4.0,4.0,2.0,2.0,5.0,4.0,0,1,17.0
167174,Barcelona,2018,4,23/04/2018,A,C,R64,3,5303,67.0,1900,44494,174.0,1615,,75.0,68.0,116.0,103.0,52.0,42.0,13.0,17.0,4.0,2.0,1.0,2.0,8.0,9.0,13.0,13.0,0,1,16.0
167175,Barcelona,2018,4,23/04/2018,A,C,R64,3,5367,50.0,1901,5539,60.0,1870,,45.0,41.0,75.0,64.0,33.0,33.0,11.0,11.0,7.0,9.0,1.0,1.0,5.0,4.0,8.0,5.0,0,1,10.0
167176,Barcelona,2018,4,23/04/2018,A,C,R64,3,11549,51.0,1900,4296,125.0,1717,,42.0,38.0,71.0,55.0,22.0,30.0,13.0,8.0,1.0,2.0,4.0,2.0,5.0,4.0,9.0,4.0,0,1,8.0
167177,Barcelona,2018,4,23/04/2018,A,C,R64,3,44669,137.0,1772,26578,63.0,1815,,59.0,38.0,67.0,63.0,26.0,27.0,5.0,12.0,0.0,2.0,0.0,3.0,8.0,3.0,13.0,5.0,0,1,8.0
167178,Barcelona,2018,4,23/04/2018,A,C,R64,3,3990,211.0,1877,3333,75.0,1891,,67.0,65.0,107.0,100.0,59.0,58.0,21.0,23.0,4.0,29.0,2.0,2.0,1.0,0.0,2.0,0.0,0,1,17.0
167179,Barcelona,2018,4,23/04/2018,A,C,R64,3,6058,138.0,1807,6202,106.0,1799,,70.0,57.0,106.0,99.0,43.0,45.0,18.0,18.0,1.0,11.0,8.0,7.0,5.0,4.0,10.0,8.0,0,1,16.0
167180,Barcelona,2018,4,23/04/2018,A,C,R64,3,4994,52.0,1886,4914,45.0,1948,,19.0,33.0,37.0,53.0,11.0,27.0,6.0,10.0,1.0,5.0,0.0,1.0,2.0,4.0,6.0,4.0,0,1,7.0
167181,Barcelona,2018,4,23/04/2018,A,C,R64,3,5055,95.0,1851,4716,129.0,1769,,30.0,21.0,48.0,39.0,16.0,19.0,8.0,13.0,0.0,5.0,0.0,0.0,6.0,0.0,10.0,0.0,0,1,8.0
