p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff
12,0.0,11,6196,6364,Marrakech,09/04/2018,0,0.002798913575504436,-0.06386364419659896,-0.052482540260162025,0.002725603562294898,-0.01788437811987975,-0.23975610071709896,0.0008791449423758424,0.256593946210472,-0.054399459654769,-0.058989980411171206,-0.038097037908175646,-0.05626437684887632
12,0.0,12,4311,5420,Marrakech,09/04/2018,0,-0.09644323978915037,0.09141497911917584,0.0560767568540716,-0.005088439225432229,0.016957973828758965,0.2775821285096597,0.35977947508231045,-0.13025273375223714,-0.022809288665321836,0.060220254685452,0.03727145642484986,0.05513181546001977
11,0.0,11,5902,4291,Marrakech,09/04/2018,0,-0.008809989762304404,-0.013036785823785757,0.000366300366300365,0.014521697434667913,0.007196767844622531,-0.09090909090909094,0.05838298576630263,0.033598146309169075,-0.0060975609756096505,-0.009176119206971478,0.0029409220314510764,0.005345578227696435
6,0.0,12,3893,4994,Marrakech,09/04/2018,0,-0.046271202804642586,0.10028188313341957,-0.016327840357374113,-0.009573597973894898,0.005975178771210232,0.02517597282257411,0.14411176523670172,0.06707383546705664,0.019208486404615144,0.041189943230400816,0.02193932001233012,0.03161634525650593
8,0.0,14,5333,4752,Marrakech,09/04/2018,0,0.02080297568831968,-0.09251867307750472,-0.03470588235294125,-0.007693660009763237,-0.029193404198533335,-0.3214285714285714,-0.37900641025641,0.07692307692307693,0.06498855835240291,-0.06838299204949272,-0.051794422595923206,-0.07607665205925596
2,0.0,13,23755,4198,Marrakech,09/04/2018,0,-0.020651558780629964,-0.0987569020488287,-0.11199992004014908,-0.04070234342236512,-0.059771183025297825,-0.5061270311467173,0.5983319039119,0.35613504541021823,-0.19339983079747003,-0.10905868353897041,-0.09536688809833427,-0.14976102696133542
11,0.0,9,9719,6134,Marrakech,09/04/2018,0,-0.02125736594948946,0.021724101577881294,0.060551061765414804,-0.02444317665684026,-0.0060785305993587,-0.046899192487736996,0.3800127733142935,-0.2002131470601075,-0.002821624609624318,0.03238672330412029,0.005392827857893412,0.007943546647280031
17,0.0,14,5324,4467,Marrakech,09/04/2018,0,-0.10376737062911978,0.1141948705319451,-0.04329779829285291,-0.014017918173103161,-0.0025861662279336173,0.01680672268907568,0.5576015965166912,0.2347605224963716,0.02846648301193755,0.018310020589969667,0.004191163644378382,0.004292102416866506
18,0.0,11,4894,5792,Marrakech,09/04/2018,0,-0.023579762185332975,-0.002225029978513371,-0.08465283949611008,0.0007682186903913424,-0.012695201491489394,-0.1846905859275555,-0.04194535589530324,0.0996308860171586,-0.08653590425496926,-0.03865332728310478,-0.0253969565532276,-0.037885108592713435
21,0.0,19,11769,5324,Barcelona,23/04/2018,0,0.11327712666739975,-0.014353037515712819,0.11364660415986805,-0.018756190537233652,0.010216766957334644,0.24328057242588097,-0.07215649658187528,-0.17361522770127022,0.10005598275458139,0.06913970391031432,0.03481115352218822,0.050383513373080786
22,0.0,1,5303,44494,Barcelona,23/04/2018,0,-0.01999401276488988,0.1187004224017153,0.10739130200859959,0.00781691481235991,0.040522956448359126,0.6207165898507113,-0.048008079838501194,-0.14147572923023946,0.24820056430980558,0.1101191402542786,0.08059620897488018,0.11793605506663851
20,0.0,18,5367,5539,Barcelona,23/04/2018,0,-0.07388913753700643,0.039615299866878506,0.031508127583978474,-0.010608487228856212,-0.0008276140385730102,-0.0026383276226890073,0.07649403924087789,0.11272074255499742,0.040047974434083256,0.021385615392595092,0.008034091296668378,0.010777128163738874
18,0.0,9,11549,4296,Barcelona,23/04/2018,0,-0.11966115871921912,0.04517612484816469,0.0254635640594168,0.013178000557316993,0.013519361033087152,0.19397080046160747,0.2946467251015481,0.11395873977426357,0.042927056124582474,0.014055343372488704,0.01781571244273944,0.027233343929805698
5,0.0,15,44669,26578,Barcelona,23/04/2018,0,0.02328513097945495,-0.033091710684032494,-0.07059566902338055,0.007700231519577105,-0.009109864528577982,0.03589650877144118,-0.25280968904290685,0.3603688837160018,-0.004276440853327679,-0.0437337096472995,-0.02458498365345274,-0.036033478127722396
3,0.0,4,6058,6202,Barcelona,23/04/2018,0,0.06236852913241098,-0.08904839423458144,-0.13541732188406452,0.04499510972678722,-0.005139234187329311,0.31966186488752435,-0.45704116370649117,-0.0562430656189864,-0.012624778857258767,-0.09089735337357063,-0.03691701114030438,-0.04590224364678332
17,-1.0,18,4994,4914,Barcelona,23/04/2018,0,0.005643521197986168,-0.06496680048720882,-0.07534489695505509,0.023810278633613513,-0.004464727502249466,-0.1407435894969673,-0.11246555334365199,-0.09292835417145937,0.022623089706461097,-0.06783930824161111,-0.031704994227237326,-0.04402902960799748
12,0.0,5,5630,5364,Barcelona,23/04/2018,0,-0.03167087314303596,-0.02527525171196643,-0.03359459580029023,0.0014314682340936802,-0.010448767166138628,-0.17734917039524323,-0.24368531362543527,0.015103522478381703,-0.10687745010993599,-0.03498657513951742,-0.023243426104382348,-0.03355510690542374
1,0.0,11,23913,5571,Barcelona,23/04/2018,0,-0.08922512455465681,-0.006945731423580015,-0.2084812924914748,0.021062045312049804,-0.024334325961630876,-0.22936216960814035,-0.2349501972630375,0.473064376910287,-0.11177489006755026,-0.10433420339815547,-0.059592489455538744,-0.08327215808610566
13,0.0,16,5209,4198,Barcelona,23/04/2018,0,-0.024288163236846905,0.025859035575248712,-0.001867168713440559,-0.012158996670236677,-0.005903204416521146,-0.1847872961088961,0.07644833249679228,-0.0691350321145141,-0.01009429625339675,0.008930848690934079,-0.0013201957495789785,-0.003228147979302598
5,0.0,11,4887,6134,Barcelona,23/04/2018,0,-0.05479076779237213,-0.07480840272965739,-0.1487478175515658,-0.032630580033957024,-0.06765243138403709,-0.5746629798599114,0.30674492428788946,0.023372340576634842,-0.1086756993161313,-0.11768953899646939,-0.09782976804881272,-0.1503201190304264
1,0.0,2,4252,5528,Australian Open,15/01/2018,0,-0.04049183803264789,0.015170670037926715,0.0035778175313057603,0.02147377938517181,0.012781110552912311,0.0,-0.4642857142857143,-0.04464285714285714,-0.008928571428571397,0.0008479966080134904,0.01370995736631897,0.022321775993185286
2,0.0,3,4546,4921,Australian Open,15/01/2018,0,0.023981957944222088,-0.00659340659340657,-0.052778888444622196,-0.037581699346405206,-0.0313934153641503,-0.16666666666666663,0.42063492063492064,-0.07936507936507936,-0.005910165484633523,-0.01912203798996237,-0.03597003038981078,-0.056703737336367584
2,0.0,3,5528,4921,Australian Open,15/01/2018,0,0.04560587144856809,-0.015170670037926715,-0.03026481715006296,-0.05520393811533053,-0.04054843691305976,-0.6666666666666666,0.10714285714285715,-0.25,-0.045592705167173286,-0.01053607233382503,-0.041121375632034884,-0.06574001044915556
2,0.0,1,5034,6030,Australian Open,15/01/2018,0,0.037936647051458716,0.35763888888888895,-0.007462686567164201,0.053405017921146936,0.11435710167211222,0.5,0.4423076923076923,-0.05769230769230768,-0.14444444444444443,0.20545887066483037,0.16159839488272387,0.2588638885859773
4,0.0,8,4994,5324,Montpellier,05/02/2018,0,0.1476089015151515,-0.15503875968992242,0.018201529156681495,0.015396798699296443,-0.002348891171212286,-0.375,-0.2634966777408638,-0.15137043189368776,-0.16764928193499629,-0.04379734848484851,-0.020940535383903836,-0.028400549785552065
5,0.0,4,4789,6315,Quito,05/02/2018,0,-0.0022601991486579376,-0.011734097908038699,-0.07816339066339012,0.02975031954450358,0.006256937439837018,0.30000000000000004,0.09194791389848539,0.3414828594206751,-0.11111111111111094,-0.039164228581473615,-0.007718600501256168,-0.009413909036970036
