p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff
12,0.0,11,6196,6364,Marrakech,09/04/2018,0,0.049935848508851216,-0.9216368231867882,-0.8427252753754074,0.10421423880847171,-0.7411173578286597,-0.8939754374093641,0.0023011954050566595,1.8805024651847946,-0.663251891115439,-1.059669969392816,-0.9794333193467235,-0.9722354695583552
12,0.0,12,4311,5420,Marrakech,09/04/2018,0,-1.720658706278868,1.3192390131656562,0.9004385101739998,-0.1945579422985118,0.7027277478621048,1.0350168525815855,0.9417364930243382,-0.9545844340272446,-0.27809658291240796,1.0817700734017504,0.9582085192834241,0.9526650696824946
11,0.0,11,5902,4291,Marrakech,09/04/2018,0,-0.15718038526990796,-0.18813805604660946,0.005881776597138263,0.5552412923494385,0.29822952378669404,-0.3389715384378795,0.15281969116017258,0.2462310506273874,-0.07434299667552415,-0.16483575501162365,0.0756078998621017,0.09237036024098715
6,0.0,12,3893,4994,Marrakech,09/04/2018,0,-0.8255316612119884,1.4472001614839818,-0.26218021637756966,-0.36604928145446725,0.2476076424793796,0.09387332063272007,0.3772180399299021,0.4915646483792674,0.23419469631090942,0.7399179585756377,0.5640360039454702,0.5463231621446815
8,0.0,14,5333,4752,Marrakech,09/04/2018,0,0.3711490957051167,-1.3351667762352564,-0.5572810332359209,-0.29416931084928805,-1.2097562711219727,-1.1985065109053592,-0.9920637288910321,0.5637468768058651,0.7923568451165405,-1.2284018843029212,-1.3315781496987589,-1.3145870207702388
2,0.0,13,23755,4198,Marrakech,09/04/2018,0,-0.3684476433165021,-1.4251926681769036,-1.798410728405677,-1.5562658473748523,-2.4768801543489065,-1.887189242320792,1.5661565705649467,2.610010254424631,-2.357979368395854,-1.9590820516000076,-2.4517787443488928,-2.587836043405914
11,0.0,9,9719,6134,Marrakech,09/04/2018,0,-0.37925594239172156,0.3135075083280615,0.9722835432046779,-0.9345919137296762,-0.2518904771013457,-0.17487240571968693,0.9946979225637635,-1.467303972557917,-0.03440195675155256,0.5817808016412148,0.1386437261146889,0.13726265600204968
17,0.0,14,5324,4467,Marrakech,09/04/2018,0,-1.8513296534937365,1.6479829647255444,-0.6952435764087893,-0.5359791468937509,-0.10716909857890886,0.06266700710616277,1.4595434380692924,1.720491647610353,0.34707051891494145,0.3289131276687224,0.10775024898347545,0.07416654093340587
18,0.0,11,4894,5792,Marrakech,09/04/2018,0,-0.42069017159606814,-0.032110124417260216,-1.3592918163265997,0.02937306333360034,-0.5260811487773632,-0.6886533725154254,-0.1097935682697393,0.7301658107324659,-1.055067504543886,-0.694351309383744,-0.6529280706333895,-0.6546459483740222
21,0.0,19,11769,5324,Barcelona,23/04/2018,0,2.0209946767512323,-0.20713330824561405,1.8248519471684783,-0.7171483581928847,0.4233763836917756,0.9071170889797369,-0.1888723808504965,-1.2723755509728927,1.2199077012996054,1.241995122151228,0.8949568133539416,0.8706155035511632
